,FIPS,County_Name,State,UIC_2013,UIC_Group,MEDICARE_ENROLL,POPESTIMATE,MED_HOUSE_INCOME,PHARMA_COUNT,HOSP_BED_100,POP_1MILE_TO_PARK,MEDICARE_RATE,PARK_1MILE_RATE
202,06033,Lake County,CA,5,Nonmetro,17325,68163,52345,2,9.09,39923,0.2541701509616654,0.5856989862535393
203,06035,Lassen County,CA,8,Nonmetro,5243,32730,63803,Data Not Collected,7.64,25040,0.16018942865872288,0.7650473571646808
204,06037,Los Angeles County,CA,1,Metro,1525035,10014009,75624,224,24.78,9881273,0.15229015671945173,0.9867449689729658
205,06039,Madera County,CA,2,Metro,24931,156255,68744,4,29.63,85829,0.15955329429458256,0.5492880227832709
206,06041,Marin County,CA,1,Metro,59672,262321,127601,5,16.85,255169,0.22747702242672146,0.9727356940542312
207,06043,Mariposa County,CA,7,Nonmetro,4947,17131,56887,Data Not Collected,10.51,10750,0.2887747358589691,0.6275173661782733
208,06045,Mendocino County,CA,5,Nonmetro,23357,91601,53176,2,15.54,53884,0.25498629927620875,0.5882468532002926
209,06047,Merced County,CA,2,Metro,37632,281202,58998,3,8.59,200301,0.13382550621972816,0.7123028996948813
210,06049,Modoc County,CA,6,Nonmetro,2572,8700,46838,Data Not Collected,23.1,7408,0.29563218390804596,0.8514942528735632
211,06051,Mono County,CA,11,Nonmetro,2016,13195,73204,1,12.87,14369,0.15278514588859415,1.0889730958696475
212,06053,Monterey County,CA,2,Metro,66808,439035,85031,7,17.04,361860,0.1521701003336864,0.8242167480952544
213,06055,Napa County,CA,2,Metro,29889,138019,92149,3,37.06,122608,0.21655714068352908,0.888341460233736
214,06057,Nevada County,CA,3,Nonmetro,29969,102241,74158,2,13.41,78523,0.29312115491828133,0.7680187009125498
215,06059,Orange County,CA,1,Metro,520143,3186989,98786,89,18.79,3154239,0.16320828217480512,0.9897238427870318
216,06061,Placer County,CA,1,Metro,87237,404739,100662,10,18.44,343998,0.21553890284850236,0.8499255075493095
217,06063,Plumas County,CA,12,Nonmetro,6364,19790,58489,2,17.7,18049,0.3215765538150581,0.9120262758969176
218,06065,Riverside County,CA,1,Metro,388970,2418185,76409,63,14.6,2212708,0.16085204399167144,0.9150284200753871
219,06067,Sacramento County,CA,1,Metro,264504,1585055,72953,17,21.09,1495872,0.16687370469794424,0.9437350754390226
220,06069,San Benito County,CA,1,Metro,9253,64209,91185,2,3.88,46623,0.1441075238673706,0.7261131617063028
221,06071,San Bernardino County,CA,1,Metro,306577,2181654,65984,38,22.16,1934022,0.1405250328420547,0.8864934586327621
222,06073,San Diego County,CA,1,Metro,544799,3298634,87126,69,20.07,3194478,0.16515897186532363,0.9684245054164845
223,06075,San Francisco County,CA,1,Metro,149327,873965,121722,11,32.87,874648,0.17086153335659895,1.000781495826492
224,06077,San Joaquin County,CA,2,Metro,114708,779233,70685,12,27.69,657401,0.14720629131466456,0.8436513854007723
225,06079,San Luis Obispo County,CA,2,Metro,65680,282424,79455,9,27.64,224331,0.23255813953488372,0.794305724725944
226,06081,San Mateo County,CA,1,Metro,128416,764442,132369,10,27.25,754820,0.1679865836780292,0.9874130411463525
227,06083,Santa Barbara County,CA,2,Metro,78039,448229,86136,9,18.43,409705,0.17410520068982596,0.9140528613722003
228,06085,Santa Clara County,CA,1,Metro,273554,1936259,139462,30,22.7,1903557,0.14127965318689287,0.9831107305375986
229,06087,Santa Cruz County,CA,2,Metro,52233,270861,93015,5,13.76,261245,0.19284060828247698,0.9644983958561771
230,06089,Shasta County,CA,2,Metro,47845,182155,59108,6,32.44,141606,0.2626609206445061,0.7773928796903736
231,06091,Sierra County,CA,7,Nonmetro,907,3236,59422,Data Not Collected,No Counts,2816,0.28028430160692214,0.8702101359703337
232,06093,Siskiyou County,CA,6,Nonmetro,13717,44076,49441,1,13.88,35698,0.3112124512206189,0.8099192304201833
233,06095,Solano County,CA,2,Metro,81567,453491,83678,9,33.51,388282,0.17986465001510504,0.8562066281359497
234,06097,Sonoma County,CA,2,Metro,108156,488863,87366,17,16.73,405728,0.22123989747638909,0.829942131026484
235,06099,Stanislaus County,CA,2,Metro,88471,552878,64501,8,25.22,475501,0.16001902770593152,0.8600468819522571
236,06101,Sutter County,CA,2,Metro,17821,99633,65791,2,3.02,59814,0.17886643983419148,0.6003432597633315
237,06103,Tehama County,CA,5,Nonmetro,15153,65829,61571,1,14.02,31291,0.2301873034680764,0.4753376171596105
238,06105,Trinity County,CA,6,Nonmetro,3550,16112,45113,Data Not Collected,15.54,12304,0.22033267130089373,0.7636544190665343
239,06107,Tulare County,CA,2,Metro,64113,473117,62058,3,17.52,320658,0.13551193468000516,0.677756242113473
240,06109,Tuolumne County,CA,5,Nonmetro,16032,55620,63336,2,12.97,44539,0.28824163969795036,0.8007731032002877
241,06111,Ventura County,CA,2,Metro,153993,843843,90961,26,16.36,788183,0.18249010775701166,0.9340398628654857
242,06113,Yolo County,CA,1,Metro,32690,216403,80668,2,5.64,190428,0.1510607523925269,0.8799693165067027
243,06115,Yuba County,CA,2,Metro,13038,81575,56278,4,26.97,61157,0.1598283787925222,0.7497027275513332
244,08001,Adams County,CO,1,Metro,63467,519572,73615,41,33.47,490093,0.12215246395109822,0.9432629164004219
245,08003,Alamosa County,CO,11,Nonmetro,3026,16376,50390,4,29.95,9998,0.18478260869565216,0.6105276013678554
246,08005,Arapahoe County,CO,1,Metro,95461,655070,82381,71,18.94,632686,0.14572641091791716,0.9658296059963057
247,08007,Archuleta County,CO,10,Nonmetro,4104,13359,63961,2,8.19,12291,0.3072086233999551,0.9200538962497193
248,08009,Baca County,CO,12,Nonmetro,960,3506,42531,Data Not Collected,65.98,1330,0.2738163148887621,0.3793496862521392
249,08011,Bent County,CO,12,Nonmetro,1110,5650,50688,Data Not Collected,No Counts,2198,0.19646017699115045,0.38902654867256636
250,08013,Boulder County,CO,2,Metro,53629,330758,88289,32,25.88,316562,0.1621396912546333,0.9570804031950852
251,08014,Broomfield County,CO,1,Metro,10993,74112,106263,9,5.37,69103,0.14832955526770294,0.9324131044905009
252,08015,Chaffee County,CO,11,Nonmetro,5528,19476,64220,5,12.77,19953,0.28383651673855004,1.0244916820702403
253,08017,Cheyenne County,CO,12,Nonmetro,393,1748,56383,Data Not Collected,144.01,4,0.2248283752860412,0.002288329519450801
254,08019,Clear Creek County,CO,1,Metro,1928,9397,79422,1,No Counts,9486,0.20517186336064702,1.0094711078003618
